transform,video_id,spread,w2_barycenter,w2_mean,gap_pct,bary_wins
Softmax tau=0.5,video_36,65.38586315789475,47.7804,52.7466,9.415204013149664,True
Softmax tau=0.5,video_37,75.26892631578949,52.025999999999996,63.251,17.74675499201594,True
Softmax tau=0.5,video_38,77.35286842105265,42.118,54.605000000000004,22.867869242743343,True
Softmax tau=0.5,video_39,49.056773684210526,23.038,27.647399999999998,16.672092131629004,True
Softmax tau=0.5,video_40,65.67730526315789,22.852399999999996,25.778,11.349212506788746,True
Softmax tau=0.5,video_41,67.9513105263158,35.205999999999996,46.522000000000006,24.32397575340701,True
Softmax tau=0.5,video_42,52.63404210526316,26.469000000000005,29.627,10.659196003645302,True
Softmax tau=0.5,video_43,57.85155263157894,19.373399999999997,20.704,6.426777434312229,True
Softmax tau=0.5,video_44,55.0101947368421,27.4266,31.5668,13.115678497662099,True
Softmax tau=0.5,video_45,71.7602052631579,39.183600000000006,48.5012,19.21107106628288,True
Softmax tau=0.5,video_46,73.48676842105263,17.6262,16.1478,-9.15542674543901,False
Softmax tau=0.5,video_47,51.32592105263158,25.1606,29.9634,16.028888577397762,True
Softmax tau=0.5,video_48,61.913305263157895,32.2796,35.9476,10.203741000790037,True
Softmax tau=0.5,video_49,48.39077894736842,26.348000000000003,33.70980000000001,21.838753122237463,True
Softmax tau=0.5,video_50,75.11835789473685,66.2434,76.6386,13.563922096698011,True
Softmax tau=0.2,video_01,102.74181578947368,38.2048,44.5112,14.168119484534236,True
Softmax tau=0.2,video_02,95.54293157894736,54.3374,67.68440000000001,19.71946268268612,True
Softmax tau=0.2,video_03,87.75108947368422,51.745400000000004,66.8484,22.592911722644065,True
Softmax tau=0.2,video_04,108.16710000000002,68.42060000000001,82.91159999999999,17.477650895652705,True
Softmax tau=0.2,video_05,125.07473684210527,59.14880000000001,76.86179999999999,23.045257852405204,True
Softmax tau=0.2,video_06,129.2513736842105,79.88500000000002,102.22800000000001,21.856047266893597,True
Softmax tau=0.2,video_07,108.30436842105264,62.2466,83.6148,25.555523663274922,True
Softmax tau=0.2,video_08,119.49730526315788,43.47760000000001,53.6456,18.954024188377037,True
Softmax tau=0.2,video_09,130.0202789473684,42.4726,44.6888,4.959184404146007,True
Softmax tau=0.2,video_10,99.82064736842106,58.882799999999996,71.0014,17.068114149861845,True
Softmax tau=0.2,video_11,80.35091578947367,36.8848,49.209199999999996,25.044910301325764,True
Softmax tau=0.2,video_12,131.41620526315788,63.7778,84.51559999999999,24.537245194969916,True
Softmax tau=0.2,video_13,98.91014210526316,78.19579999999999,93.95679999999999,16.77473051444919,True
Softmax tau=0.2,video_14,132.85652631578947,75.1566,98.3542,23.58577467967815,True
Softmax tau=0.2,video_15,116.95907368421054,71.65299999999999,80.7406,11.255304023007024,True
Softmax tau=0.2,video_16,111.0744,59.2362,77.00659999999999,23.07646357584934,True
Softmax tau=0.2,video_17,125.5780894736842,54.9308,74.9262,26.68679313778091,True
Softmax tau=0.2,video_18,96.83635789473686,40.3942,52.89639999999999,23.63525684167542,True
Softmax tau=0.2,video_19,116.27040000000002,40.782399999999996,48.610600000000005,16.103895035239244,True
Softmax tau=0.2,video_20,104.8414947368421,79.2158,89.58680000000001,11.576482249617138,True
Softmax tau=0.2,video_21,142.6782,63.89419999999999,84.15520000000001,24.075755271213204,True
Softmax tau=0.2,video_22,107.19120526315788,66.175,83.3732,20.627971578396895,True
Softmax tau=0.2,video_23,124.39147368421054,69.0526,92.7996,25.589549954956702,True
Softmax tau=0.2,video_24,116.46313157894738,44.2722,56.5006,21.64295600400704,True
Softmax tau=0.2,video_25,141.67711052631577,92.5228,120.06979999999999,22.94248845255009,True
Softmax tau=0.2,video_26,116.77633157894738,56.597,80.328,29.54262523653023,True
Softmax tau=0.2,video_27,150.39407894736843,129.086,151.17860000000002,14.613576260132055,True
Softmax tau=0.2,video_28,89.59495263157893,68.62199999999999,75.1146,8.643592590521697,True
Softmax tau=0.2,video_29,75.7655,54.2476,61.11600000000001,11.238300935925139,True
Softmax tau=0.2,video_30,148.5956052631579,118.64679999999998,137.7884,13.892025743821696,True
Softmax tau=0.2,video_31,99.81177894736841,47.418600000000005,62.2716,23.851964619505512,True
Softmax tau=0.2,video_32,75.28425263157895,31.5574,41.2018,23.407715196908867,True
Softmax tau=0.2,video_33,126.95494736842105,78.7862,91.59080000000002,13.980225088109309,True
Softmax tau=0.2,video_34,127.13843684210526,87.23039999999999,107.37780000000001,18.76309628247181,True
